Class,Lesson 1,Lesson 2,Lesson 3,Lesson 4,Lesson 5,Lesson 6
5A,"Technology
Amelia Clark","English
Emily Watson","Physical Education
James Wilson","Chemistry
Sophie Martin","Physical Education
James Wilson","Deutsch
Janice Doe"
5B,"Literature
Janice Doe",-,"Music
Charlotte Brown",-,"Physics
Lucas Anderson",-
6A,"History
William Davis","Physics
Lucas Anderson","Art
Benjamin Taylor","History
William Davis",-,-
6B,-,-,"History
William Davis","Physical Education
James Wilson","English
Robert Mitchell",-
7A,-,"Physical Education
James Wilson","Technology
Amelia Clark","Art
Benjamin Taylor","Geography
Isabella Garcia","Physical Education
James Wilson"
7B,"Biology
Oliver Thompson","Literature
Janice Doe","Biology
Oliver Thompson","Deutsch
Janice Doe","Deutsch
Janice Doe","Biology
Oliver Thompson"
8A,"Music
Charlotte Brown","Social Studies
William Davis","Literature
Janice Doe","Biology
Oliver Thompson","Biology
Oliver Thompson",-
8B,-,"Art
Benjamin Taylor","Literature
Jim Doe","Physics
Lucas Anderson","Social Studies
William Davis","Computer Science
Emma Johnson"
9A,-,-,-,-,-,"Literature
Jim Doe"
9B,-,"Deutsch
Jim Doe","English
Emily Watson","Literature
Jim Doe",-,-
10A,-,-,-,-,"Art
Benjamin Taylor",-
11A,"Math
Jane Doe","Biology
Oliver Thompson",-,-,-,-
