Teacher,Mon 1,Mon 2,Mon 3,Mon 4,Mon 5,Mon 6,Tue 1,Tue 2,Tue 3,Tue 4,Tue 5,Tue 6,Wed 1,Wed 2,Wed 3,Wed 4,Wed 5,Wed 6,Thu 1,Thu 2,Thu 3,Thu 4,Thu 5,Thu 6,Fri 1,Fri 2,Fri 3,Fri 4,Fri 5,Fri 6
John Doe,,,,,Math (7A),,,,,,,Math (9B),,,,,Math (5B),,,,,,,,,,Math (8B),,,
Jane Doe,,Math (7B),Math (8B),,,,,Math (10A),Math (11A),,,,,,,Math (11A),,,Math (11A),,,,,,,,,,Math (6A),
Jim Doe,Deutsch (7B),Literature (6A),Deutsch (6A),Literature (7A),Deutsch (5A),,,,Literature (5A),Literature (10A),Literature (9A),Deutsch (5A),,Literature (6B),Deutsch (6A),,,,,Deutsch (9B),Literature (8B),Literature (9B),,Literature (9A),,Literature (5B),Deutsch (7A),,,
Janice Doe,,Literature (9B),Deutsch (8A),Literature (6A),,,,Deutsch (7B),Deutsch (6A),Literature (5A),,,,Literature (7A),,,Literature (5A),,Literature (5B),Literature (7B),Literature (8A),Deutsch (7B),Deutsch (7B),Deutsch (5A),,Literature (7A),Literature (9A),Literature (5B),,
Emily Watson,,,,English (9B),,,,,,,,,English (6A),English (11A),,,,,,English (5A),English (9B),,,,,,,,,
Robert Mitchell,,,English (5A),English (8A),,,,,,,English (7A),,English (9B),,,,,,,,,,English (6B),,,English (8A),English (6A),English (10A),,
Lucas Anderson,,,Physics (11A),Physics (7B),,,,,,,,,,,Physics (11A),Physics (5B),,,,Physics (6A),,Physics (8B),Physics (5B),,Physics (8A),,Physics (5B),Physics (8A),Physics (5B),Physics (6A)
Sophie Martin,,Chemistry (8B),Chemistry (7A),Chemistry (5A),Chemistry (9B),,,,Chemistry (6B),Chemistry (7A),,,Chemistry (9A),Chemistry (9A),Chemistry (9A),Chemistry (9B),Chemistry (7A),,,,,Chemistry (5A),,,Chemistry (6B),Chemistry (7B),,,,
Oliver Thompson,,,,,,,Biology (6A),,Biology (7A),Biology (6B),,,,,,Biology (7B),Biology (8A),,Biology (7B),Biology (11A),Biology (7B),Biology (8A),Biology (8A),Biology (7B),,,,Biology (7A),Biology (5A),Biology (5A)
Isabella Garcia,,,Geography (7B),,Geography (6B),Geography (5A),,,,,,,,Geography (9B),Geography (10A),,,,,,,,Geography (7A),,,,Geography (5A),Geography (6B),Geography (9B),
William Davis,History (5B),Social Studies (7A),History (9A),History (6B),Social Studies (11A),Social Studies (6B),History (10A),Social Studies (11A),History (8A),Social Studies (7B),History (5A),Social Studies (7A),,,,History (5A),History (9B),History (6B),History (6A),Social Studies (8A),History (6B),History (6A),Social Studies (8B),,Social Studies (7B),History (8B),History (7B),History (11A),Social Studies (11A),History (5B)
Emma Johnson,Computer Science (9A),Computer Science (5B),Computer Science (9B),Computer Science (8B),Computer Science (7B),Computer Science (7B),,,,Computer Science (9A),Computer Science (5B),Computer Science (5B),,,Computer Science (7A),Computer Science (8A),,,,,,,,Computer Science (8B),Computer Science (9B),Computer Science (6B),Computer Science (11A),Computer Science (9B),Computer Science (8A),
James Wilson,,Physical Education (10A),Physical Education (10A),,,,,Physical Education (5A),Physical Education (10A),Physical Education (5B),,,Physical Education (11A),Physical Education (5B),Physical Education (5A),Physical Education (7A),Physical Education (7B),,,Physical Education (7A),Physical Education (5A),Physical Education (6B),Physical Education (5A),Physical Education (7A),,,,Physical Education (7B),Physical Education (6B),Physical Education (6B)
Charlotte Brown,,Music (5A),Music (6B),Music (5B),Music (6A),,,Music (6A),Music (5B),Music (9B),,,Music (8A),Music (8A),Music (6B),Music (6B),Music (6B),Music (7A),Music (8A),,Music (5B),,,,,,Music (10A),Music (6A),,
Benjamin Taylor,,,,,,Art (7A),,Art (5B),Art (7B),,,,Art (7B),Art (6A),Art (5B),Art (6A),,,,Art (8B),Art (6A),Art (7A),Art (10A),,,Art (9B),Art (6B),,,
Amelia Clark,Technology (8A),Technology (11A),Technology (5B),,,,,Technology (9B),,Technology (6A),Technology (6A),,Technology (8B),Technology (8B),Technology (9B),,,,Technology (5A),,Technology (7A),,,,,Technology (5A),Technology (8A),Technology (5A),Technology (7A),
